AsciiScene,Setup,Room
000,00,00,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 015C
000,00,01,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 015C
000,00,02,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 011D 015C
000,00,03,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 015C
000,00,04,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB
000,00,05,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 015C
000,00,06,0036 001E 0024 0039 004A 000E 00A4 012B 00B7 00BB
000,00,07,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 018A
000,00,08,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 015C
000,00,09,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB
000,00,10,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB 015C
000,00,11,0036 001E 0024 0039 0164 000E 00A4 012B 00B7 00BB
001,00,00,002B 018A 000D 0031 000E 001F 0038 0085 012B 008B 0177 0168 0024 0154 0188
001,00,01,002B 018A 000D 0031 000E 001F 0038 0085 012B 008B 0177 0168 0024 0154 0188
001,00,02,002B 018A 0031 0024 015C
001,00,03,002B 018A 001B 00B7
001,00,04,002B 018A 000D 0031 000E 001F 0038 0085 012B 008B 00A4 000C
001,00,05,002B 018A 0038 0031 000D
001,00,06,002B 018A 0168
001,00,07,002B 018A 000D 012B 001F
001,00,08,002B 018A 000D 012B 001F
001,00,09,002B 018A 000D 0031 000E 001F 0038 0085 012B 008B 00B7 0168 0024 0154 0188
001,00,10,002B 018A 000D 0031 000E 001F 0038 0085 012B 008B 0177 0168 0024 0154 0188
001,00,11,002B 018A 000D 0024 015C 00A4
001,00,12,002B 018A 000D 0031 000E 001F 0038 0085 012B 008B 0177 0168 0024 0154 0188
001,00,13,002B 018A 000D 000E 00A4 012B 0168
001,00,14,002B 018A 000D 00A4 0024 015C 0038
001,00,15,002B 018A 0038 000E 0031
001,00,16,002B 018A
002,00,00,0096 00A3 0007 0012 0021 0056 0026
002,04,00,0096 00A3 0007 0012
002,00,01,0096 00A3 0007 0012 0021 0056 0026 00BD 00B7 0168
002,04,01,0096 00A3 0007 0021
002,00,02,0096 00A3 0007 0012 0021 0056 0026 00D5 0024 015C
002,04,02,0096 00A3 0021 0056 00D5
002,00,03,0096 00A3 0007 0012 0021 0056 0026 00D5 0024 015C
002,04,03,0096 00A3 0026 00D5
002,00,04,0096 00A3 0007 0012 0021 0056 0026 00AC
002,04,04,0096 00A3 0007 00AC
002,00,05,0096 00A3 0007 0012 0021 0056 0026 00AC 0024 015C
002,04,05,0096 00A3 0021 00AC
