Index	VRom Start	VRom End	Filename	Description
0	00000000	00001060	makerom	
1	00001060	00007430	boot	
2	00007430	0000D390	dmadata	File Table
3	0000D390	00029DE0	Audiobank	
4	00029DE0	00079470	Audioseq	
5	00079470	004D9F40	Audiotable	
6	004D9F40	00556240		
7	00557000	007BCC30	link_animetion	
8	007BD000	008458A0	icon_item_static	
9	00846000	00851400	icon_item_24_static	
10	00852000	0085D930	icon_item_field_static	
11	0085E000	0085FD80	icon_item_dungeon_static	
12	00860000	00863300	icon_item_gameover_static	
13	00864000	00871C80	icon_item_jpn_static	
14	00872000	0087FC80	icon_item_nes_static	
15	00880000	008BD800	item_name_static	Item name textures used in the pause menu. 122 textures per language
16	008BE000	008DF800	map_name_static	
17	008E0000	008E5700	do_action_static	
18	008E6000	008EA180	message_static	
19	008EB000	00925350		
20	00926000	00927200	message_texture_static	
21	00928000	0092C580	nes_font_static	
22	0092D000	00965130	nes_message_data_static	English Textbox Text
23	00966000	00966F60	staff_message_data_static	Credits Text
24	00967000	00975350		
25	00976000	00A64110		
26	00A65000	00A86DE0		
27	00A87000	00B8AD30	code	Contains game's main codebase
28	00B8AD30	00B9DA40	*z_n64dd.c	N64 Disk Drive related code
29	00B9DA40	00B9E400	ovl_title	
30	00B9E400	00BA1160	ovl_select	
31	00BA1160	00BA12C0	ovl_opening	
32	00BA12C0	00BB11E0	ovl_file_choose	
33	00BB11E0	00BCDB70	ovl_kaleido_scope	Pause Screen actor
34	00BCDB70	00BF40D0	ovl_player_actor	Link
35	00BF40D0	00BFAC30	ovl_map_mark_data	Minimap Icon Data for Dungeons 0-9
36	00BFAC30	00C004E0	ovl_En_Test	Stalfos
37	00C004E0	00C02E00	ovl_En_GirlA	Shops
38	00C02E00	00C04410	ovl_En_Part	Dissipating Flames
39	00C04410	00C05200	ovl_En_Light	Decorative Flames
40	00C05200	00C06030	ovl_En_Door	Standard Door
41	00C06030	00C07B60	ovl_En_Box	Chest
42	00C07B60	00C0BCF0	ovl_En_Poh	Poe
43	00C0BCF0	00C0E2D0	ovl_En_Okuta	Octorok
44	00C0E2D0	00C0F1A0	ovl_En_Bom	Bomb
45	00C0F1A0	00C10BB0	ovl_En_Wallmas	Wall Master
46	00C10BB0	00C13950	ovl_En_Dodongo	Dodongo
47	00C13950	00C15AC0	ovl_En_Firefly	Keese
48	00C15AC0	00C21CE0	ovl_En_Horse	Epona
49	00C21CE0	00C233D0	ovl_En_Arrow	Arrows
50	00C233D0	00C27D90	ovl_En_Elf	Fairies
51	00C27D90	00C2B0C0	ovl_En_Niw	Cucco
52	00C2B0C0	00C2DE60	ovl_En_Tite	Tektite
53	00C2DE60	00C2F8D0	ovl_En_Reeba	Leever
54	00C2F8D0	00C32FD0	ovl_En_Peehat	Peahat
55	00C32FD0	00C33FA0	ovl_En_Holl	Room Change Plane
56	00C33FA0	00C340D0	ovl_En_Scene_Change	(unknown actor)
57	00C340D0	00C3ABC0	ovl_En_Zf	Lizafos
58	00C3ABC0	00C3B150	ovl_En_Hata	Wooden Post with Red Cloth
59	00C3B150	00C44C30	ovl_Boss_Dodongo	King Dodongo
60	00C44C30	00C4ABB0	ovl_Boss_Goma	Gohma
61	00C4ABB0	00C4E9B0	ovl_En_Zl1	Child Zelda (at window)
62	00C4E9B0	00C51860	ovl_En_Viewer	Nightmare Cutscene Actors
63	00C51860	00C544F0	ovl_En_Goma	Gohma Larva
64	00C544F0	00C547F0	ovl_Bg_Pushbox	Alpha Cube
65	00C547F0	00C55C10	ovl_En_Bubble	Shabom (Bubble Enemy)
66	00C55C10	00C57E90	ovl_Door_Shutter	Lifting Dungeon Door
67	00C57E90	00C59D30	ovl_En_Dodojr	Baby Dodongo
68	00C59D30	00C5A8C0	ovl_En_Bdfire	King Dodongo's Fire
69	00C5A8C0	00C5B180	ovl_En_Boom	Returning Boomerang
70	00C5B180	00C5D8E0	ovl_En_Torch2	Dark Link
71	00C5D8E0	00C5FBB0	ovl_En_Bili	Biri (Electrified Jellyfish)
72	00C5FBB0	00C61A00	ovl_En_Tp	Electric Tailparisans
73	00C61A00	00C64670	ovl_En_St	Skulltula
74	00C64670	00C679D0	ovl_En_Bw	Torch Slug
75	00C679D0	00C69630	ovl_En_Eiyer	Stinger
76	00C69630	00C69FC0	ovl_En_River_Sound	Ambient Sound Effects
77	00C69FC0	00C6C5E0	ovl_En_Horse_Normal	Normal Horse
78	00C6C5E0	00C72BC0	ovl_En_Ossan	Shopkeeper
79	00C72BC0	00C74210	ovl_Bg_Treemouth	Great Deku Tree's Jaw
80	00C74210	00C74F50	ovl_Bg_Dodoago	Dodongo's Cavern "Mega Dodongo"
81	00C74F50	00C757A0	ovl_Bg_Hidan_Dalm	Megaton Statue
82	00C757A0	00C75FD0	ovl_Bg_Hidan_Hrock	Huge Stone Spike Platform (Fire Temple)
83	00C75FD0	00C76D50	ovl_En_Horse_Ganon	Ganon's Horse
84	00C76D50	00C77E40	ovl_Bg_Hidan_Rock	Stone Blocks (Fire Temple)
85	00C77E40	00C78A20	ovl_Bg_Hidan_Rsekizou	Spinning Stone Flamethrower
86	00C78A20	00C79E70	ovl_Bg_Hidan_Sekizou	Stationary Flamethrower Statue
87	00C79E70	00C7AD90	ovl_Bg_Hidan_Sima	Stone Platform (Fire Temple)
88	00C7AD90	00C7B1F0	ovl_Bg_Hidan_Syoku	Stone Elevator (Fire Temple)
89	00C7B1F0	00C81950	ovl_En_Xc	Sheik?
90	00C81950	00C823F0	ovl_Bg_Hidan_Curtain	Flame Circle
91	00C823F0	00C83500	ovl_Bg_Spot00_Hanebasi	Drawbridge Objects
92	00C83500	00C87640	ovl_En_Mb	Moblins
93	00C87640	00C88AB0	ovl_En_Bombf	Bombflower
94	00C88AB0	00C89210	ovl_Bg_Hidan_Firewall	Proximity Activated Fire Wall
95	00C89210	00C8BF60	ovl_Bg_Dy_Yoseizo	Great Fairy
96	00C8BF60	00C90690	ovl_En_Zl2	Adult Zelda (Cutscene)
97	00C90690	00C90B60	ovl_Bg_Hidan_Fslift	Hookshotable Elevator (Fire Temple)
98	00C90B60	00C90C40	ovl_En_OE2	Targetable Blue Spot
99	00C90C40	00C913F0	ovl_Bg_Ydan_Hasi	Deku Tree Puzzle Elements
